"ID","Registry name","Temp.","RainType","Downfall"
0,"minecraft:the_void",0.50,-,"0.50"
1,"minecraft:plains",0.80,rain,"0.40"
2,"minecraft:sunflower_plains",0.80,rain,"0.40"
3,"minecraft:snowy_plains",0.00,snow,"0.50"
4,"minecraft:ice_spikes",0.00,snow,"0.50"
5,"minecraft:desert",2.00,-,"0.00"
6,"minecraft:swamp",0.80,rain,"0.90"
7,"minecraft:forest",0.70,rain,"0.80"
8,"minecraft:flower_forest",0.70,rain,"0.80"
9,"minecraft:birch_forest",0.60,rain,"0.60"
10,"minecraft:dark_forest",0.70,rain,"0.80"
11,"minecraft:old_growth_birch_forest",0.60,rain,"0.60"
12,"minecraft:old_growth_pine_taiga",0.30,rain,"0.80"
13,"minecraft:old_growth_spruce_taiga",0.25,rain,"0.80"
14,"minecraft:taiga",0.25,rain,"0.80"
15,"minecraft:snowy_taiga",-0.50,snow,"0.40"
16,"minecraft:savanna",2.00,-,"0.00"
17,"minecraft:savanna_plateau",2.00,-,"0.00"
18,"minecraft:windswept_hills",0.20,rain,"0.30"
19,"minecraft:windswept_gravelly_hills",0.20,rain,"0.30"
20,"minecraft:windswept_forest",0.20,rain,"0.30"
21,"minecraft:windswept_savanna",2.00,-,"0.00"
22,"minecraft:jungle",0.95,rain,"0.90"
23,"minecraft:sparse_jungle",0.95,rain,"0.80"
24,"minecraft:bamboo_jungle",0.95,rain,"0.90"
25,"minecraft:badlands",2.00,-,"0.00"
26,"minecraft:eroded_badlands",2.00,-,"0.00"
27,"minecraft:wooded_badlands",2.00,-,"0.00"
28,"minecraft:meadow",0.50,rain,"0.80"
29,"minecraft:grove",-0.20,snow,"0.80"
30,"minecraft:snowy_slopes",-0.30,snow,"0.90"
31,"minecraft:frozen_peaks",-0.70,snow,"0.90"
32,"minecraft:jagged_peaks",-0.70,snow,"0.90"
33,"minecraft:stony_peaks",1.00,rain,"0.30"
34,"minecraft:river",0.50,-,"0.50"
35,"minecraft:frozen_river",0.00,snow,"0.50"
36,"minecraft:beach",0.80,rain,"0.40"
37,"minecraft:snowy_beach",0.05,snow,"0.30"
38,"minecraft:stony_shore",0.20,rain,"0.30"
39,"minecraft:warm_ocean",0.50,rain,"0.50"
40,"minecraft:lukewarm_ocean",0.50,rain,"0.50"
41,"minecraft:deep_lukewarm_ocean",0.50,rain,"0.50"
42,"minecraft:ocean",0.50,rain,"0.50"
43,"minecraft:deep_ocean",0.50,rain,"0.50"
44,"minecraft:cold_ocean",0.50,rain,"0.50"
45,"minecraft:deep_cold_ocean",0.50,rain,"0.50"
46,"minecraft:frozen_ocean",0.00,snow,"0.50"
47,"minecraft:deep_frozen_ocean",0.00,rain,"0.50"
48,"minecraft:mushroom_fields",0.90,rain,"1.00"
49,"minecraft:dripstone_caves",0.80,rain,"0.40"
50,"minecraft:lush_caves",0.50,rain,"0.50"
51,"minecraft:nether_wastes",2.00,-,"0.00"
52,"minecraft:warped_forest",2.00,-,"0.00"
53,"minecraft:crimson_forest",2.00,-,"0.00"
54,"minecraft:soul_sand_valley",2.00,-,"0.00"
55,"minecraft:basalt_deltas",2.00,-,"0.00"
56,"minecraft:the_end",0.50,-,"0.50"
57,"minecraft:end_highlands",0.50,-,"0.50"
58,"minecraft:end_midlands",0.50,-,"0.50"
59,"minecraft:small_end_islands",0.50,-,"0.50"
60,"minecraft:end_barrens",0.50,-,"0.50"
61,"byg:allium_fields",0.80,rain,"0.40"
62,"byg:amaranth_fields",0.80,rain,"0.40"
63,"byg:araucaria_savanna",1.20,-,"0.00"
64,"byg:aspen_forest",0.70,rain,"0.60"
65,"byg:atacama_desert",2.00,-,"0.00"
66,"byg:autumnal_valley",0.35,rain,"0.80"
67,"byg:baobab_savanna",1.20,-,"0.00"
68,"byg:bayou",0.80,rain,"0.80"
69,"byg:black_forest",0.25,rain,"0.80"
70,"byg:borealis_grove",0.25,rain,"0.50"
71,"byg:canadian_shield",0.25,snow,"0.50"
72,"byg:cherry_blossom_forest",0.70,rain,"0.80"
73,"byg:cika_woods",0.35,rain,"0.50"
74,"byg:coniferous_forest",0.25,rain,"0.80"
75,"byg:crag_gardens",1.00,rain,"0.80"
76,"byg:cypress_swamplands",0.25,rain,"0.80"
77,"byg:lush_stacks",1.00,rain,"0.80"
78,"byg:dead_sea",2.00,rain,"0.00"
79,"byg:dacite_ridges",0.25,rain,"0.80"
80,"byg:windswept_dunes",2.00,-,"0.00"
81,"byg:windswept_desert",2.00,-,"0.00"
82,"byg:ebony_woods",0.80,rain,"0.80"
83,"byg:forgotten_forest",0.80,rain,"0.80"
84,"byg:temperate_grove",0.75,rain,"0.80"
85,"byg:guiana_shield",0.95,rain,"0.90"
86,"byg:howling_peaks",0.15,rain,"0.50"
87,"byg:jacaranda_forest",0.95,rain,"0.50"
88,"byg:maple_taiga",0.25,rain,"0.80"
89,"byg:coconino_meadow",0.80,rain,"0.80"
90,"byg:mojave_desert",2.00,-,"0.00"
91,"byg:cardinal_tundra",0.35,snow,"0.40"
92,"byg:orchard",0.80,rain,"0.80"
93,"byg:prairie",0.80,rain,"0.20"
94,"byg:red_oak_forest",0.80,rain,"0.90"
95,"byg:red_rock_valley",1.20,rain,"0.10"
96,"byg:rose_fields",0.80,rain,"0.40"
97,"byg:autumnal_forest",0.25,rain,"0.90"
98,"byg:autumnal_taiga",0.25,rain,"0.80"
99,"byg:shattered_glacier",-0.50,snow,"0.90"
100,"byg:firecracker_shrubland",2.00,rain,"0.40"
101,"byg:sierra_badlands",1.20,rain,"0.10"
102,"byg:skyris_vale",0.25,rain,"0.80"
103,"byg:redwood_thicket",0.90,rain,"0.90"
104,"byg:frosted_taiga",-0.50,snow,"0.80"
105,"byg:frosted_coniferous_forest",-0.50,snow,"0.80"
106,"byg:fragment_forest",0.25,rain,"0.80"
107,"byg:tropical_rainforest",0.95,rain,"0.90"
108,"byg:twilight_meadow",0.25,rain,"0.80"
109,"byg:weeping_witch_forest",0.25,rain,"0.80"
110,"byg:white_mangrove_marshes",0.80,rain,"0.80"
111,"byg:temperate_rainforest",0.80,rain,"0.80"
112,"byg:zelkova_forest",0.25,rain,"0.80"
113,"byg:windswept_beach",0.85,rain,"0.75"
114,"byg:rainbow_beach",0.85,rain,"0.75"
115,"byg:basalt_barrera",0.85,rain,"0.75"
116,"byg:dacite_shore",0.25,rain,"0.80"
117,"byg:brimstone_caverns",2.00,-,"0.00"
118,"byg:crimson_gardens",2.00,-,"0.00"
119,"byg:embur_bog",2.00,-,"0.00"
120,"byg:glowstone_gardens",2.00,-,"0.00"
121,"byg:magma_wastes",2.00,-,"0.00"
122,"byg:subzero_hypogeal",2.00,-,"0.00"
123,"byg:sythian_torrids",2.00,-,"0.00"
124,"byg:warped_desert",2.00,-,"0.00"
125,"byg:wailing_garth",2.00,-,"0.00"
126,"byg:arisian_undergrowth",2.00,-,"0.00"
127,"byg:weeping_mire",2.00,-,"0.00"
128,"byg:quartz_desert",2.00,-,"0.00"
129,"byg:ivis_fields",0.80,-,"0.80"
130,"byg:nightshade_forest",0.80,-,"0.40"
131,"byg:ethereal_islands",0.80,-,"0.80"
132,"byg:viscal_isles",0.80,-,"0.40"
133,"byg:bulbis_gardens",0.80,-,"0.80"
134,"byg:shulkren_forest",0.80,-,"0.40"
135,"byg:cryptic_wastes",0.80,-,"0.80"
136,"byg:imparius_grove",0.80,-,"0.80"
137,"edenring:stone_garden",1.00,-,"1.00"
138,"edenring:golden_forest",1.00,-,"1.00"
139,"edenring:mycotic_forest",1.00,-,"1.00"
140,"edenring:pulse_forest",1.00,-,"1.00"
141,"edenring:brainstorm",1.00,-,"1.00"
142,"edenring:lakeside_desert",1.00,-,"1.00"
143,"edenring:wind_valley",1.00,-,"1.00"
144,"edenring:air_ocean",1.00,-,"1.00"
145,"edenring:sky_colony",1.00,-,"1.00"
146,"edenring:empty_cave",1.00,-,"1.00"
147,"edenring:eroded_cave",1.00,-,"1.00"
148,"edenring:old_mycotic_forest",1.00,-,"1.00"
149,"promenade:pumpkin_pastures",0.80,rain,"0.90"
150,"promenade:pink_cherry_oak_forest",0.60,rain,"0.40"
151,"promenade:white_cherry_oak_forest",0.60,rain,"0.40"
152,"promenade:tall_crimson_forest",2.00,-,"0.00"
153,"promenade:tall_warped_forest",2.00,-,"0.00"
154,"promenade:tritanopian_gallery",2.00,-,"0.00"
155,"promenade:achromatopsian_gallery",2.00,-,"0.00"
156,"promenade:protanopian_gallery",2.00,-,"0.00"
157,"promenade:dark_amaranth_forest",0.50,-,"0.50"
158,"promenade:tall_dark_amaranth_forest",0.50,-,"0.50"
159,"spectrum:deeper_down_biome",0.20,-,"0.20"
160,"terrablender:deferred_placeholder",0.50,-,"0.50"
161,"magicfungi:host_biome",1.00,-,"0.00"
162,"terrestria:caldera",0.20,snow,"0.70"
163,"terrestria:canyon",0.90,-,"0.10"
164,"terrestria:cypress_forest",0.70,rain,"0.80"
165,"terrestria:cypress_swamp",0.70,rain,"0.70"
166,"terrestria:dense_woodlands",0.90,rain,"0.30"
167,"terrestria:dunes",0.90,-,"0.10"
168,"terrestria:hemlock_rainforest",0.60,rain,"0.90"
169,"terrestria:hemlock_treeline",0.60,rain,"0.90"
170,"terrestria:lush_redwood_forest",0.90,rain,"0.90"
171,"terrestria:lush_desert",0.70,rain,"0.70"
172,"terrestria:oasis",0.70,rain,"0.70"
173,"terrestria:rainbow_rainforest",0.95,rain,"0.90"
174,"terrestria:redwood_forest",0.90,rain,"0.90"
175,"terrestria:windswept_redwood_forest",0.90,rain,"0.90"
176,"terrestria:sakura_forest",0.80,rain,"1.00"
177,"terrestria:snowy_hemlock_forest",-0.50,snow,"1.00"
178,"terrestria:snowy_hemlock_treeline",-0.50,snow,"1.00"
179,"terrestria:japanese_maple_forest",0.80,rain,"0.50"
180,"terrestria:volcanic_island",0.90,rain,"0.90"
181,"terrestria:outback",1.80,-,"0.30"
182,"traverse:woodlands",0.80,-,"0.40"
183,"traverse:flatlands",0.80,-,"0.70"
184,"traverse:snowy_coniferous_forest",-0.50,snow,"0.90"
185,"traverse:coniferous_forest",0.60,rain,"0.90"
186,"traverse:desert_shrubland",2.00,-,"0.00"
187,"traverse:autumnal_woods",0.80,rain,"0.40"
188,"traverse:lush_swamp",0.80,rain,"0.90"
189,"twilightforest:forest",0.50,rain,"0.50"
190,"twilightforest:dense_forest",0.70,rain,"0.80"
191,"twilightforest:firefly_forest",0.50,rain,"1.00"
192,"twilightforest:clearing",0.80,rain,"0.40"
193,"twilightforest:oak_savannah",0.90,rain,"0.00"
194,"twilightforest:stream",0.50,rain,"0.10"
195,"twilightforest:lake",0.66,rain,"1.00"
196,"twilightforest:mushroom_forest",0.80,rain,"0.80"
197,"twilightforest:dense_mushroom_forest",0.80,rain,"1.00"
198,"twilightforest:enchanted_forest",0.50,-,"0.50"
199,"twilightforest:spooky_forest",0.50,rain,"1.00"
200,"twilightforest:swamp",0.80,rain,"0.90"
201,"twilightforest:fire_swamp",1.00,-,"0.40"
202,"twilightforest:dark_forest",0.70,rain,"0.80"
203,"twilightforest:dark_forest_center",0.50,rain,"0.50"
204,"twilightforest:snowy_forest",0.09,snow,"0.90"
205,"twilightforest:glacier",0.80,snow,"0.10"
206,"twilightforest:highlands",0.40,rain,"0.70"
207,"twilightforest:thornlands",0.30,rain,"0.20"
208,"twilightforest:final_plateau",1.00,rain,"0.20"
209,"ae2:spatial_storage",0.50,-,"0.50"
210,"terralith:caldera",0.45,rain,"0.80"
211,"terralith:cold_shrubland",0.14,rain,"0.00"
212,"terralith:haze_mountain",0.30,rain,"0.60"
213,"terralith:hot_shrubland",0.80,rain,"0.40"
214,"terralith:sakura_valley",0.70,rain,"0.80"
215,"terralith:blooming_plateau",0.50,rain,"0.80"
216,"terralith:skylands",0.50,rain,"0.50"
217,"terralith:savanna_slopes",1.00,-,"0.00"
218,"terralith:snowy_shield",0.10,rain,"0.80"
219,"terralith:shrubland",1.20,-,"0.00"
220,"terralith:skylands_summer",0.50,rain,"0.50"
221,"terralith:gravel_beach",0.80,rain,"0.40"
222,"terralith:cave/diorite_caves",1.00,rain,"0.30"
223,"terralith:white_mesa",2.00,-,"0.00"
224,"terralith:sakura_grove",0.70,rain,"0.80"
225,"terralith:rocky_shrubland",0.14,rain,"0.00"
226,"terralith:desert_spires",2.00,-,"0.00"
227,"terralith:cave/crystal_caves",1.00,rain,"0.30"
228,"skylore:void",0.50,rain,"0.50"
229,"terralith:ice_marsh",0.14,snow,"0.90"
230,"terralith:birch_taiga",0.22,rain,"0.20"
231,"terralith:steppe",0.40,rain,"-0.50"
232,"terralith:siberian_grove",0.23,rain,"0.80"
233,"terralith:warm_river",0.50,rain,"0.50"
234,"terralith:snowy_maple_forest",0.10,snow,"0.20"
235,"terralith:volcanic_crater",1.00,rain,"0.30"
236,"terralith:emerald_peaks",0.10,snow,"0.40"
237,"terralith:yosemite_cliffs",0.38,rain,"0.80"
238,"terralith:amethyst_canyon",0.95,rain,"0.90"
239,"terralith:cave/ice_caves",1.00,rain,"0.30"
240,"terralith:cave/thermal_caves",0.80,rain,"0.40"
241,"terralith:red_oasis",2.00,-,"0.00"
242,"terralith:skylands_autumn",0.50,rain,"0.50"
243,"terralith:ashen_savanna",1.00,-,"0.00"
244,"terralith:gravel_desert",0.14,snow,"0.50"
245,"terralith:ancient_sands",2.00,-,"0.00"
246,"terralith:shield",0.40,rain,"0.80"
247,"terralith:alpha_islands",0.70,rain,"0.80"
248,"terralith:cave/mantle_caves",2.00,rain,"0.00"
249,"skylore:death",2.00,-,"0.00"
250,"terralith:moonlight_grove",0.70,rain,"0.80"
251,"terralith:fractured_savanna",1.10,-,"0.00"
252,"terralith:sandstone_valley",2.00,-,"0.00"
253,"terralith:volcanic_peaks",1.00,rain,"0.30"
254,"terralith:brushland",1.20,-,"0.20"
255,"terralith:amethyst_rainforest",0.95,rain,"0.90"
256,"terralith:painted_mountains",1.00,rain,"0.30"
257,"terralith:snowy_badlands",0.00,snow,"0.50"
258,"terralith:alpine_highlands",0.45,rain,"0.10"
259,"terralith:siberian_taiga",0.30,rain,"1.20"
260,"terralith:savanna_badlands",1.00,-,"0.00"
261,"terralith:desert_oasis",2.00,-,"0.00"
262,"terralith:cave/andesite_caves",1.00,rain,"0.30"
263,"terralith:bryce_canyon",2.00,-,"0.00"
264,"terralith:moonlight_valley",0.70,rain,"0.80"
265,"terralith:skylands_spring",0.50,rain,"0.50"
266,"terralith:cave/frostfire_caves",0.80,rain,"0.40"
267,"terralith:alpine_grove",-0.20,snow,"0.80"
268,"terralith:lavender_valley",0.70,rain,"0.80"
269,"terralith:cave/granite_caves",1.00,rain,"0.30"
270,"terralith:scarlet_mountains",0.10,snow,"0.40"
271,"terralith:windswept_spires",0.20,rain,"0.30"
272,"terralith:yosemite_lowlands",0.25,rain,"0.80"
273,"terralith:cloud_forest",0.25,rain,"0.80"
274,"terralith:cave/tuff_caves",1.00,rain,"0.30"
275,"minecraft:deep_warm_ocean",0.50,rain,"0.50"
276,"terralith:mountain_steppe",0.40,rain,"0.45"
277,"terralith:desert_canyon",2.00,-,"0.00"
278,"terralith:shield_clearing",0.40,rain,"-0.50"
279,"terralith:wintry_forest",-0.50,snow,"0.40"
280,"terralith:granite_cliffs",0.40,rain,"0.30"
281,"terralith:blooming_valley",0.70,rain,"0.80"
282,"terralith:arid_highlands",1.60,-,"0.10"
283,"terralith:glacial_chasm",0.00,snow,"0.50"
284,"terralith:rocky_jungle",0.95,rain,"0.90"
285,"terralith:temperate_highlands",0.90,rain,"0.20"
286,"terralith:alpha_islands_winter",0.00,snow,"0.75"
287,"terralith:highlands",0.40,rain,"0.40"
288,"terralith:warped_mesa",2.00,-,"0.00"
289,"terralith:cave/deep_caves",1.00,rain,"0.30"
290,"terralith:tropical_jungle",0.95,rain,"0.90"
291,"terralith:cave/fungal_caves",1.00,rain,"0.30"
292,"terralith:cave/infested_caves",1.00,rain,"0.30"
293,"terralith:stony_spires",0.70,rain,"0.30"
294,"terralith:valley_clearing",0.40,rain,"-0.50"
295,"terralith:orchid_swamp",0.80,rain,"0.90"
296,"terralith:white_cliffs",0.40,rain,"0.30"
297,"terralith:yellowstone",0.25,rain,"0.80"
298,"terralith:frozen_cliffs",0.00,snow,"0.50"
299,"terralith:mirage_isles",0.70,rain,"0.80"
300,"terralith:cave/desert_caves",0.80,rain,"0.40"
301,"terralith:forested_highlands",0.36,rain,"0.20"
302,"terralith:rocky_mountains",1.00,-,"0.30"
303,"terralith:lush_valley",0.40,rain,"0.80"
304,"terralith:jungle_mountains",0.95,rain,"0.90"
305,"terralith:lavender_forest",0.70,rain,"0.80"
306,"terralith:basalt_cliffs",0.50,rain,"0.30"
307,"terralith:wintry_lowlands",-0.50,snow,"0.40"
308,"terralith:skylands_winter",0.20,snow,"0.50"
